probe	arm	first_rank	recall_at_k	mrr	ndcg_at_k	returned
p01	temporal_only	0	0	0	0	10
p01	both	0	0	0	0	10
p01	baseline	0	0	0	0	10
p01	energy_neutral	0	0	0	0	10
p02	both	0	0	0	0	10
p02	baseline	0	0	0	0	10
p02	energy_neutral	0	0	0	0	10
p02	temporal_only	0	0	0	0	10
p03	baseline	0	0	0	0	10
p03	temporal_only	0	0	0	0	10
p03	energy_neutral	0	0	0	0	10
p03	both	0	0	0	0	10
p04	energy_neutral	0	0	0	0	10
p04	both	0	0	0	0	10
p04	temporal_only	0	0	0	0	10
p04	baseline	0	0	0	0	10
p05	temporal_only	0	0	0	0	10
p05	both	0	0	0	0	10
p05	baseline	0	0	0	0	10
p05	energy_neutral	0	0	0	0	10
p06	both	0	0	0	0	10
p06	baseline	0	0	0	0	10
p06	energy_neutral	0	0	0	0	10
p06	temporal_only	0	0	0	0	10
p07	baseline	0	0	0	0	10
p07	energy_neutral	0	0	0	0	10
p07	temporal_only	0	0	0	0	10
p07	both	0	0	0	0	10
p08	energy_neutral	3	1	0.3333333333333333	0.5	10
p08	temporal_only	0	0	0	0	10
p08	both	2	1	0.5	0.6309297535714575	10
p08	baseline	0	0	0	0	10
p09	temporal_only	0	0	0	0	10
p09	both	0	0	0	0	10
p09	baseline	0	0	0	0	10
p09	energy_neutral	0	0	0	0	10
p10	baseline	0	0	0	0	10
p10	temporal_only	0	0	0	0	10
p10	energy_neutral	0	0	0	0	10
p10	both	0	0	0	0	10
p11	energy_neutral	2	1	0.5	0.6309297535714575	10
p11	both	1	1	1	1	10
p11	baseline	7	1	0.14285714285714285	0.3333333333333333	10
p11	temporal_only	7	1	0.14285714285714285	0.3333333333333333	10
p12	baseline	0	0	0	0	10
p12	both	0	0	0	0	10
p12	temporal_only	0	0	0	0	10
p12	energy_neutral	0	0	0	0	10
p13	energy_neutral	0	0	0	0	10
p13	both	0	0	0	0	10
p13	temporal_only	0	0	0	0	10
p13	baseline	0	0	0	0	10
p14	baseline	0	0	0	0	10
p14	temporal_only	0	0	0	0	10
p14	energy_neutral	0	0	0	0	10
p14	both	0	0	0	0	10
p15	energy_neutral	0	0	0	0	10
p15	both	0	0	0	0	10
p15	baseline	0	0	0	0	10
p15	temporal_only	0	0	0	0	10
p16	baseline	0	0	0	0	10
p16	both	0	0	0	0	10
p16	temporal_only	0	0	0	0	10
p16	energy_neutral	0	0	0	0	10
p17	temporal_only	0	0	0	0	10
p17	both	0	0	0	0	10
p17	energy_neutral	0	0	0	0	10
p17	baseline	0	0	0	0	10
p18	baseline	0	0	0	0	10
p18	temporal_only	0	0	0	0	10
p18	energy_neutral	0	0	0	0	10
p18	both	0	0	0	0	10
p19	both	0	0	0	0	10
p19	baseline	0	0	0	0	10
p19	energy_neutral	0	0	0	0	10
p19	temporal_only	0	0	0	0	10
p20	both	0	0	0	0	10
p20	baseline	0	0	0	0	10
p20	energy_neutral	0	0	0	0	10
p20	temporal_only	0	0	0	0	10
p21	baseline	0	0	0	0	10
p21	energy_neutral	2	1	0.5	0.6309297535714575	10
p21	temporal_only	0	0	0	0	10
p21	both	3	1	0.3333333333333333	0.5	10
