run	fitness	noise_removal	signal_preservation	phase_coherence	speed	consciousness	encoding_entropy	transfer_score	frequency_transfer	online_retention	catastrophic_forgetting	temporal_separation	carrier_emergence	xi_robustness_v2	total_ms
L5.9-stub	0.157847	1.0000	1.0000	0.6946	0.8378	0.8813	1.0000	0.751977	0.9991	1.0000	1.0000	1.0000	0.0000	0.9598	44030
L5.9-stub	0.230687	1.0000	1.0000	0.6946	0.8273	0.8813	1.0000	0.598110	0.9988	1.0000	1.0000	1.0000	0.0000	0.6304	59509
L5.hyp-flat_only-A0.1	0.258415	1.0000	1.0000	0.7006	0.8858	0.8771	1.0000	0.644837	0.9901	1.0000	1.0000	1.0000	0.5588	0.0205	55871
L5.hyp-xi_and_flat-impl-A0.1-t1	0.145950	1.0000	1.0000	0.7006	0.8835	0.8771	1.0000	0.624792	0.9901	1.0000	1.0000	1.0000	0.5588	0.7908	56552
L5.hyp-xi_and_flat-impl-A0.1-t2	0.119502	1.0000	1.0000	0.7006	0.8852	0.8771	1.0000	0.624792	0.9901	1.0000	1.0000	1.0000	0.5588	0.9668	56282
L5.hyp-xi_and_flat-impl-A0.1-t3	0.133725	1.0000	1.0000	0.7006	0.8837	0.8771	1.0000	0.644837	0.9901	1.0000	1.0000	1.0000	0.5588	0.8522	56470
L5.hyp-xi_and_flat-impl-A0.1-t4	0.173779	1.0000	1.0000	0.7006	0.8853	0.8771	1.0000	0.624792	0.9901	1.0000	1.0000	1.0000	0.5588	0.6049	56602
L5.xi-and-flat-proper.A0.1	0.236460	1.0000	1.0000	0.7006	0.8029	0.8771	1.0000	0.644837	0.9901	1.0000	1.0000	1.0000	0.5588	0.1835	97749
L5.xi-and-flat-proper.A0.1	0.192609	1.0000	1.0000	0.7006	0.8002	0.8771	1.0000	0.644837	0.9901	1.0000	1.0000	1.0000	0.5588	0.4763	97760
L5.xi-and-flat-proper.A0.1	0.218398	1.0000	1.0000	0.7006	0.8013	0.8771	1.0000	0.624792	0.9901	1.0000	1.0000	1.0000	0.5588	0.3242	97641
L5.xi-and-flat-proper.A0.1	0.187394	1.0000	1.0000	0.7006	0.8020	0.8771	1.0000	0.624792	0.9901	1.0000	1.0000	1.0000	0.5588	0.5308	96841
L5.9-stub	0.266762	1.0000	1.0000	0.3332	0.7746	0.9255	1.0000	0.294958	0.9952	1.0000	1.0000	1.0000	0.0000	0.7454	61428
L5.9-stub	0.246494	1.0000	1.0000	0.3851	0.9604	0.9784	1.0000	0.377787	0.9998	1.0000	1.0000	1.0000	0.0000	0.7399	51910
L5.9-stub	0.235925	1.0000	1.0000	0.3691	0.7728	0.9437	1.0000	0.261531	0.9958	1.0000	1.0000	1.0000	0.0000	0.9759	62358
L5.9-stub	0.261727	1.0000	1.0000	0.3332	0.7751	0.9255	1.0000	0.282478	0.9952	1.0000	1.0000	1.0000	0.0000	0.7914	60654
L5.9-stub	0.219690	1.0000	1.0000	0.3851	0.9589	0.9784	1.0000	0.403603	0.9996	1.0000	1.0000	1.0000	0.0000	0.8932	52292
L5.nodrive	0.220360	1.0000	1.0000	0.7006	0.8852	0.8771	1.0000	0.624792	0.9901	1.0000	1.0000	1.0000	0.3154	0.4566	55613
L5.drive.A0.1	0.115263	1.0000	1.0000	0.6871	0.8650	0.8326	1.0000	0.706831	0.9904	1.0000	1.0000	1.0000	0.5588	0.9275	55548
L5.drive.A0.3	0.317535	1.0000	1.0000	0.6638	0.8653	0.9768	1.0000	0.329343	0.9995	1.0000	1.0000	1.0000	0.2861	0.1064	42969
