run	fitness	stability_recall	merge_consolidation	shared_agreement	n_agents	epochs	couple	final_cores	p1_pairs	p3_pairs	merge_events
L7-baseline-1	0.589251	0.3738	0.0000	0.7464	4	6	0	38	38	6	13
L7-baseline-2	0.589251	0.3738	0.0000	0.7464	4	6	0	38	38	6	13
L7-couple-1	0.527454	0.7439	0.0000	0.5000	4	6	1	18	18	6	3
L7-couple-s0.05	0.759203	0.3745	0.0000	0.2600	4	6	1	36	36	6	11
L7-couple-s0.1	0.522928	0.4163	0.0000	0.8873	4	6	1	31	31	6	7
L7-couple-s0.2	0.527454	0.7439	0.0000	0.5000	4	6	1	18	18	6	3
L7-couple-s0.4	0.657077	0.4198	0.0000	0.5000	4	6	1	10	10	6	3
L7-couple-s0.8	0.706838	0.3218	0.5000	0.1127	4	6	1	25	25	6	0
L7-couple-s0.125	0.616851	0.6435	0.0000	0.3593	4	6	1	25	25	6	3
L7-couple-s0.15	0.608079	0.4814	0.0000	0.5696	4	6	1	20	20	6	3
L7-couple-s0.175	0.601497	0.4425	0.0000	0.6328	4	6	1	22	22	6	3
L7-epochs12	0.602297	0.4933	0.0000	0.5725	4	12	0	34	28	6	25
L7-epochs18	0.650300	0.1441	0.0000	0.8344	4	18	0	23	13	6	41
L7-detector-selftest	0.589251	0.3738	0.0000	0.7464	4	6	0	38	38	6	13
L7-detector-selftest2	0.589251	0.3738	0.0000	0.7464	4	6	0	38	38	6	13
L7-baseline-v2	0.464251	0.3738	0.5000	0.7464	4	6	0	38	38	6	13
L7-hrm-p2-first	0.464251	0.3738	0.5000	0.7464	4	6	0	38	38	6	13
L7-bridge-1	0.464251	0.3738	0.5000	0.7464	4	6	0	38	38	6	13
L7-bridge-e10	0.456468	0.5316	0.5000	0.5883	4	10	0	31	31	6	23
L7-fusion-detector	0.464251	0.3738	0.5000	0.7464	4	6	0	38	38	6	44
L7-hrm-chiral-1	0.464251	0.3738	0.5000	0.7464	4	6	0	38	38	6	44
L7-p2-live-1	0.464251	0.3738	0.5000	0.7464	4	6	0	38	38	6	44
L7-p2-canary	0.558001	0.3738	0.1250	0.7464	4	6	0	38	38	6	44
L7-p2-w1-e10	0.556468	0.5316	0.1000	0.5883	4	10	0	31	31	6	72
L7-p2-w2-e10	0.506468	0.5316	0.3000	0.5883	4	10	0	31	31	6	72
L7-p2-w3-e10	0.456468	0.5316	0.5000	0.5883	4	10	0	31	31	6	72
L7-p2-w5-e10	0.431468	0.5316	0.6000	0.5883	4	10	0	31	31	6	72
L7-sched-0.1_0.2	0.545218	0.6213	0.1250	0.5000	4	6	1	20	20	6	39
L7-sched-0.2_0.1	0.435999	0.5850	0.1250	0.8536	4	6	1	22	22	6	38
L7-sched-0.1_0.1_0.2	0.591576	0.5794	0.1250	0.4155	4	6	1	30	30	6	39
L7-sched-0.15	0.576829	0.4814	0.1250	0.5696	4	6	1	20	20	6	35
L7-p2-organic	0.558001	0.3738	0.1250	0.7464	4	6	0	38	38	6	44
L7-p2-clean	0.558001	0.3738	0.1250	0.7464	4	6	0	38	38	6	44
L7-p2-clean	0.589251	0.3738	0.0000	0.7464	4	6	0	38	38	6	44
