run	fitness	p1_current	p2_no_harm	p3_past_reachable	current_mrr_off	current_mrr_on	current_delta	stable_mrr_off	stable_mrr_on	superseded_off	superseded_on	stable_no_harm	temporal_exp	floor	halflife_days	energy_exp	runs	verdict	fixture
L8-fx1-exp0.0	0.500000	0.0000	1.0000	1.0000	0.4774	0.4774	+0.0000	0.7600	0.7600	0.9833	0.9833	120/120	0.00	0.25	180	1.00	10	BASELINE	v1-unaged-distractors
L8-fx1-exp0.25	0.176241	0.7022	0.9583	0.9322	0.4774	0.8444	+0.3670	0.7600	0.8286	0.9833	0.9167	115/120	0.25	0.25	180	1.00	10	NOT_SUPPORTED	v1-unaged-distractors
L8-fx1-exp0.5	0.216681	0.6382	0.9417	0.9153	0.4774	0.8109	+0.3335	0.7600	0.8512	0.9833	0.9000	113/120	0.50	0.25	180	1.00	10	NOT_SUPPORTED	v1-unaged-distractors
L8-fx1-exp0.75	0.209014	0.6411	0.9750	0.9068	0.4774	0.8124	+0.3350	0.7600	0.9177	0.9833	0.8917	117/120	0.75	0.25	180	1.00	10	NOT_SUPPORTED	v1-unaged-distractors
L8-fx1-exp1.0	0.225162	0.6443	0.9167	0.8941	0.4774	0.8141	+0.3367	0.7600	0.8882	0.9833	0.8792	110/120	1.00	0.25	180	1.00	10	NOT_SUPPORTED	v1-unaged-distractors
L8-exp0.0	0.500000	0.0000	1.0000	1.0000	0.4774	0.4774	+0.0000	0.7600	0.7600	0.9708	0.9708	120/120	0.00	0.25	180	1.00	10	BASELINE	v2-aged-distractors
L8-exp0.25	0.151019	0.7146	0.9667	1.0000	0.4774	0.8503	+0.3729	0.7600	0.8379	0.9708	0.9792	116/120	0.25	0.25	180	1.00	10	SUPPORTED	v2-aged-distractors
L8-exp0.5	0.164714	0.6831	0.9750	1.0000	0.4774	0.8339	+0.3565	0.7600	0.8937	0.9708	0.9750	117/120	0.50	0.25	180	1.00	10	SUPPORTED	v2-aged-distractors
L8-exp1.0	0.188744	0.6476	0.9583	0.9914	0.4774	0.8154	+0.3380	0.7600	0.9176	0.9708	0.9625	115/120	1.00	0.25	180	1.00	10	SUPPORTED	v2-aged-distractors
L8-floor0.05	0.174025	0.6987	0.9667	0.9399	0.4774	0.8420	+0.3646	0.7600	0.8379	0.9708	0.9125	116/120	0.25	0.05	180	1.00	10	NOT_SUPPORTED	v2-aged-distractors
L8-floor0.15	0.166987	0.6827	0.9667	1.0000	0.4774	0.8337	+0.3563	0.7600	0.8379	0.9708	0.9708	116/120	0.25	0.15	180	1.00	10	SUPPORTED	v2-aged-distractors
L8-floor0.25	0.151019	0.7146	0.9667	1.0000	0.4774	0.8503	+0.3729	0.7600	0.8379	0.9708	0.9792	116/120	0.25	0.25	180	1.00	10	SUPPORTED	v2-aged-distractors
L8-floor0.50	0.151019	0.7146	0.9667	1.0000	0.4774	0.8503	+0.3729	0.7600	0.8379	0.9708	0.9792	116/120	0.25	0.50	180	1.00	10	SUPPORTED	v2-aged-distractors
L8-floor0.75	0.107059	0.7923	1.0000	0.9871	0.4774	0.8909	+0.4135	0.7600	0.8379	0.9708	0.9583	120/120	0.25	0.75	180	1.00	10	NOT_SUPPORTED	v2-aged-distractors
L8-hl30	0.150373	0.7159	0.9667	1.0000	0.4774	0.8510	+0.3736	0.7600	0.8379	0.9708	0.9875	116/120	0.25	0.25	30	1.00	10	SUPPORTED	v2-aged-distractors
L8-hl90	0.158813	0.6990	0.9667	1.0000	0.4774	0.8422	+0.3648	0.7600	0.8379	0.9708	0.9792	116/120	0.25	0.25	90	1.00	10	SUPPORTED	v2-aged-distractors
L8-hl365	0.150816	0.7152	0.9750	0.9914	0.4774	0.8506	+0.3732	0.7600	0.8379	0.9708	0.9625	117/120	0.25	0.25	365	1.00	10	SUPPORTED	v2-aged-distractors
L8-hl3650	0.144837	0.7425	1.0000	0.9356	0.4774	0.8649	+0.3875	0.7600	0.8379	0.9708	0.9083	120/120	0.25	0.25	3650	1.00	10	NOT_SUPPORTED	v2-aged-distractors
