commit	fitness	noise	signal	bridge	phase	cluster	amp_div	xi_div	consciousness	hall_q	dream_eff	links	status	description
baseline	0.384600	0.6000	0.7067	1.0000	0.5787	0.9732	1.0000	0.0000	0.4127	0.2166	0.6746	532	keep	L3 baseline: L2-best params
285aa7b	0.260000	0.7000	0.8800	1.0000	0.5500	0.9783	1.0000	0.0000	0.9952	0.7000	0.7109	456	keep	L3-15: penalty=0.55
787c515	0.210000	0.7000	0.8800	1.0000	0.7000	0.9783	1.0000	0.0000	0.9952	0.7000	0.7109	456	keep	L3-31: phase_spread=0.2
0cf5245	0.195000	0.7000	0.9200	1.0000	0.7400	0.9742	1.0000	0.0000	0.9700	0.5000	0.8133	517	keep	L3-35: threshold=0.04+spread=0.2 — BEST 10-run avg 0.195
post-hrm	0.383141	0.8000	0.5470	0.0000	0.9570	0.9850	0.8270	0.1570	0.0000	0.5000	0.8140	528	base	Post-HRM baseline — fresh optimization needed
ooda-13	0.226200	0.6000	1.0000	0.0000	0.7920	0.9690	1.0000	0.0750	0.9000	0.9870	0.9172	420	keep	Post-HRM OODA cycle 13: phi=0.01+intf=0.10+phase=PI/3+penalty=0.45+hall=0.5 — 10-run avg 0.226
ooda-13b	0.140400	0.6000	1.0000	0.8300	0.8200	0.9700	1.0000	0.5800	0.9000	1.0000	0.9170	424	keep	Post bridge+xi code fixes: bridge restored, xi boosted — 10-run avg 0.140
ooda-14	0.133200	0.6000	1.0000	0.8500	0.7800	0.9670	1.0000	0.5200	0.9990	0.9170	0.9170	425	keep	OODA-14: dt=0.15+chiral=0.7+phi=0.0001 — best 10-run avg 0.133, 20-run avg 0.136
ooda-14b	0.096200	1.0000	0.9070	0.8300	0.7700	0.9700	1.0000	0.6200	0.9990	1.0000	0.8800	427	keep	Post code fixes (freq-band gating, deterministic iter, noise_floor+hall_amp wired) — 10-run avg 0.096
ooda-15	0.085000	1.0000	0.9870	0.8330	0.7390	0.9630	1.0000	0.6730	0.9990	1.0000	0.8760	427	keep	OODA-15: penalty=0.35+chiral=0.9+threshold=0.55 — 10-run avg 0.085, best single 0.053
